X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU_26	SYNECHOS	-0.472848	-0.472848	-0.472848	1	2	18	-1	0.010000	-0.280557	0.184203	-0.407299	0.053731	-1	-0.240487	0.257652	-0.525822	0.009966	-1	0.120802	0.630283	0.001578	0.381128	0.000242	27	110
OTU_26	Cryptomonas	0.410348	0.410348	0.410348	2	1	20	1	0.080000	0.184945	0.386944	0.464707	0.025475	1	0.037884	0.860493	0.492948	0.016850	1	0.285207	0.630283	0.000967	0.615685	0.000311	27	111
OTU_26	Micromonas	0.351392	0.351392	0.351392	2	1	20	1	0.207000	0.274378	0.194464	0.510959	0.012716	1	0.194825	0.361623	0.351866	0.099655	1	0.414344	0.630283	0.000582	0.439218	0.000685	27	112
OTU_26	PNF_tot	0.440356	0.440356	0.440356	2	1	20	1	0.051000	0.248467	0.241709	0.552833	0.006222	1	0.221739	0.297718	0.478261	0.020977	1	0.237967	0.630283	0.000350	0.404300	0.000338	27	113
OTU_26	HNF_tot	-0.290859	-0.290859	-0.290859	1	1	18	0	0.514000	-0.171411	0.423210	-0.171411	0.423210	0	-0.337391	0.106892	-0.337391	0.106892	0	0.599149	0.630283	0.003802	0.261274	0.000709	27	114
OTU_31	OTU_59	0.545571	0.545571	0.545571	9	10	15	-1	0.034000	0.284213	0.178309	0.514212	0.012066	-1	0.091187	0.671742	0.457113	0.028314	-1	0.200588	0.630283	0.000560	0.564038	0.000377	28	29
OTU_31	OTU_63	0.205147	0.205147	0.205147	2	1	23	1	0.342000	-0.164257	0.443102	0.441754	0.034825	1	-0.065106	0.762464	0.387999	0.067334	1	0.508464	0.630283	0.001200	0.589679	0.000578	28	30
OTU_31	OTU_27	-0.284321	-0.284321	-0.284321	1	1	16	0	0.245000	-0.188641	0.377356	-0.188641	0.377356	0	-0.364625	0.079805	-0.364625	0.079805	0	0.442450	0.630283	0.003722	0.230669	0.000614	28	31
OTU_31	OTU_34	-0.248505	-0.248505	-0.248505	2	2	23	0	0.167000	-0.217084	0.308235	-0.217084	0.308235	0	-0.454637	0.025615	-0.454637	0.025615	0	0.382684	0.630283	0.003542	0.132087	0.000364	28	32
OTU_31	OTU_28	-0.121747	-0.121747	-0.121747	2	2	22	0	0.927000	-0.312469	0.137127	-0.312469	0.137127	0	-0.198076	0.353508	-0.198076	0.353508	0	0.735860	0.630283	0.002645	0.435662	0.001341	28	33
OTU_31	OTU_81	0.142455	0.142455	0.142455	7	7	9	0	0.721000	0.346824	0.096838	0.346824	0.096838	0	0.162688	0.447530	-0.231876	0.287049	1	0.675325	0.544407	0.002207	0.480608	0.001179	28	34
OTU_31	OTU_73	0.304594	0.304594	0.304594	2	2	16	0	0.271000	0.450439	0.027186	0.450439	0.027186	0	0.216015	0.310680	0.256734	0.236992	-1	0.463527	0.268501	0.001006	0.412195	0.001070	28	35
OTU_31	OTU_1194	0.358052	0.358052	0.358052	9	9	16	0	0.475000	0.420146	0.040942	0.420146	0.040942	0	0.182786	0.392608	0.182786	0.392608	0	0.578741	0.349466	0.001337	0.454807	0.001430	28	36
OTU_31	OTU_87	0.359499	0.359499	0.359499	9	9	16	0	0.575000	0.181001	0.397325	0.429118	0.041024	-1	0.230610	0.278303	0.230610	0.278303	0	0.624071	0.630283	0.001338	0.393560	0.001160	28	37
OTU_31	OTU_25	-0.167561	-0.167561	-0.167561	2	2	22	0	0.635000	-0.238024	0.262705	-0.238024	0.262705	0	-0.313259	0.136083	-0.313259	0.136083	0	0.646672	0.630283	0.003390	0.289985	0.000797	28	38
OTU_31	OTU_23	-0.307804	-0.307804	-0.307804	2	1	23	1	0.742000	-0.223402	0.294015	0.393035	0.063555	-1	-0.264736	0.211245	-0.333537	0.119873	1	0.683179	0.630283	0.001758	0.351124	0.000749	28	39
OTU_31	OTU_96	0.187954	0.187954	0.187954	1	2	15	-1	0.840000	0.011396	0.957853	0.184615	0.399066	-1	-0.072537	0.736246	-0.072537	0.736246	0	0.709693	0.678145	0.003745	0.581575	0.002314	28	40
