#Row.names	X18S_BL040126_022.	X18S_BL040223_022.	X18S_BL040322_022.	X18S_BL040419_022.	X18S_BL040525_022.	X18S_BL040628_022.	X18S_BL040719_022.	X18S_BL040831_022.	X18S_BL040929_022.	X18S_BL041019_022.	X18S_BL041116_022.	X18S_BL041214_022.	X18S_BL050120_022.	X18S_BL050215_022.	X18S_BL050309_022.	X18S_BL050413_022.	X18S_BL050510_022.	X18S_BL050607_022.	X18S_BL050705_022.	X18S_BL050803_022.	X18S_BL050913_022.	X18S_BL051004_022.	X18S_BL051108_022.	X18S_BL051213_022.
OTU_101	0	0	0	0	0	1	831	10	9	0	3	0	0	0	0	0	1	0	0	0	0	0	8	0
OTU_75	2	0	1	0	6	1	0	0	5	35	453	0	8	0	0	104	183	8	1	2	3	0	17	5
OTU_55	76	0	7	0	0	157	111	22	51	92	54	18	18	14	0	0	75	66	0	0	8	35	4	14
OTU_51	24	1	20	26	98	0	136	137	78	17	31	76	10	0	0	27	0	28	4	63	7	0	14	17
OTU_100	47	12	61	11	56	26	18	19	58	104	64	35	16	0	0	0	48	49	0	0	8	0	50	126
OTU_83	6	30	6	0	0	0	0	0	0	0	4	14	23	306	0	0	0	0	3	0	347	0	18	3
OTU_90	79	1	142	39	0	9	48	0	6	19	11	49	23	73	3	0	72	0	0	49	32	65	2	10
OTU_525	6	0	1	8	38	14	7	0	0	11	4	27	0	0	0	0	13	16	318	177	1	63	0	11
OTU_40	0	0	0	0	471	37	41	10	16	38	2	14	2	0	0	0	0	20	0	0	0	29	27	4
OTU_53	61	10	86	0	0	0	0	12	38	9	1	59	204	124	0	0	0	2	3	0	84	0	1	15
OTU_64	35	15	17	5	0	0	0	0	0	1	3	359	6	14	0	0	0	0	1	0	22	211	0	9
OTU_509	14	0	9	14	0	0	0	1	28	14	1	39	83	84	1	142	0	14	59	0	60	53	18	14
OTU_77	0	4	1	0	85	0	178	45	68	25	16	8	9	0	0	0	49	56	0	48	1	0	29	8
OTU_47	123	199	0	4	0	0	0	0	61	20	2	0	190	0	0	0	0	0	0	0	0	0	0	27
OTU_57	95	0	99	46	0	0	90	226	0	3	14	24	8	5	0	0	0	0	0	0	0	5	0	9
OTU_1013	0	2	0	2	70	0	11	38	102	55	32	59	25	0	1	19	0	49	1	0	0	0	128	29
OTU_48	21	0	7	28	475	0	0	0	7	10	3	0	22	0	0	0	3	0	0	0	1	0	2	17
OTU_56	42	51	30	3	0	0	0	0	33	17	35	101	92	0	75	0	0	2	0	0	19	0	53	41
OTU_60	140	291	0	23	0	0	0	0	0	0	62	0	0	3	0	0	0	0	0	0	22	0	8	41
