BL040126	BL040419	BL040719	BL041019	BL050120	BL050413	BL050705	BL051004
  0.00000	162.38516	153.91871	178.39934	176.35037	196.08213	213.80967	160.69018
162.38516	  0.00000	142.00864	164.01835	198.70593	161.13877	172.28384	131.94861
153.91871	142.00864	  0.00000	134.30819	182.81336	141.14021	157.45816	124.18241
178.39934	164.01835	134.30819	  0.00000	205.98121	145.53585	161.16036	141.29880
176.35037	198.70593	182.81336	205.98121	  0.00000	221.03811	237.45069	187.77187
196.08213	161.13877	141.14021	145.53585	221.03811	  0.00000	 88.00269	121.80796
213.80967	172.28384	157.45816	161.16036	237.45069	 88.00269	  0.00000	132.16677
160.69018	131.94861	124.18241	141.29880	187.77187	121.80796	132.16677	  0.00000
