	BL040126	BL040419	BL040719	BL041019	BL050120	BL050413	BL050705	BL051004
OTU_00001	3.01684694819666	1.10575199789939	-5.5187185644402	-1.14283709635922	4.83237428588188	-2.00303836158233	-0.956251140778804	0.665871931182613
OTU_00002	5.03436060950888	2.14106914150938	-4.41275480552208	-0.0828236829090017	5.07693034697329	-5.06712587858256	-6.05939028940359	3.36973455842569
OTU_00004	4.8182120056909	0.049276244909878	0.586553054763039	-4.90356290998383	4.07186270206439	-5.21508681098099	-0.555142820041383	1.14788853357799
OTU_00005	-2.0825819807215	6.46259196926438	-3.26563109163519	1.96006859306251	-2.04401746767038	-3.92000216469567	1.12715947012741	1.76241267226845
OTU_00006	3.2371621030879	3.40941120602541	1.64575171943202	0.609659787745242	3.1802414519025	-5.73208241678485	-6.72434682760589	0.374202976197676
OTU_00007	4.07900136050306	2.28900711679957	-4.08965835010984	1.13043136336391	5.00700182805012	-4.74402942317032	-5.73629383399136	2.06453993855486
OTU_00008	3.03863436191391	3.07233718544904	-4.59350454778246	-4.93635171984578	2.49601196406592	-5.24787562084294	1.97372489678093	4.19702348026138
OTU_00009	1.89709160560063	0.956663886860713	2.29280846429513	0.88922260606518	2.23049875003819	-0.974857524742501	-7.59352796045727	0.302100172339924
OTU_00010	6.90738185390677	3.02311422736102	-2.30644348027391	-2.64929065233723	3.80095528677023	-2.96081455333439	-3.95307896415543	-1.86182371793705
OTU_00011	6.34325751390448	1.37764363258221	-2.72457665056927	-3.06742382263259	4.6210438473135	-3.37894772362975	-0.891039908736154	-2.27995688823241
OTU_00012	-3.33491399837306	3.84384250056268	1.72405812105599	1.74382161017483	-3.29634948532194	3.3302973102509	-6.16459859316827	2.15384253481886
OTU_00013	2.2139025331646	2.29019601753361	-4.14193579961475	-0.549717519092424	1.09894110649496	-4.79630687267523	-0.846969042560355	4.73188957674959
OTU_00014	-1.65177607689655	0.685743053221903	-2.83482518781024	-3.17767235987356	0.233757929478846	-3.48919626087072	4.33758123565549	5.89638766709483
OTU_00015	3.63451656672215	-3.04870688430071	-3.2273212535465	4.00709491286079	5.27297317304528	1.01810171385665	-4.87395673742802	-2.78270149120964
OTU_00016	5.04877679761528	0.450448143443905	-2.68557008458288	1.4702795542589	5.62916263761857	-3.33994115764336	-4.3322055684644	-2.24095032224602
OTU_00017	4.81496957921487	-2.94610257529871	-3.12471694454449	1.55389019036132	3.75970773142037	-3.77908801760498	-4.77135242842601	4.49269246487763
OTU_00018	5.32824547326068	2.15530059467139	-2.82544832508887	-3.16829549715219	4.35092517166628	-3.47981939814935	-4.47208380897039	2.11117578976246
OTU_00019	-1.67240494200989	2.7543205650982	-2.85545405292358	0.623787362260652	5.42939361208147	-3.50982512598406	-4.5020895368051	3.73227211828231
OTU_00020	5.53477729514485	-2.21084229386078	-2.38945666310657	-2.73230383516988	3.90003128351145	-3.04382773616705	-4.03609214698808	4.97771409663607
OTU_00021	1.25939735021581	-0.187691138611247	-0.714005939419698	-0.231880949641618	1.14305395574469	-0.577430404413947	-1.00006331614448	0.30862044227049
OTU_00022	0.0758393062132225	-0.92859543545468	7.36642549544744	-1.45005697676379	0.114403819264348	-1.76158087776095	-2.75384528858199	-0.662590042363608
OTU_00023	1.85719288767176	-2.81488972963247	2.01601647319841	2.52544251660998	5.25318549111394	-3.64787517193874	-4.64013958275977	-0.548932884263122
OTU_00024	3.13020962432481	2.91104749830979	-2.14968207981065	-2.49252925187397	-0.928068455845837	-2.80405315287113	-3.79631756369217	6.12939338145917
OTU_00025	3.22209576485512	0.291048543320342	0.395309553644752	-4.60798167713862	2.0454902495412	1.65792481858313	-5.91176998895682	2.90788273615089
OTU_00026	4.43516284211153	0.167799115757785	-2.36447694669141	1.01509697614499	5.69623564735646	-3.01884801975188	-4.01111243057292	-1.91985718435454
OTU_00027	1.80735449372283	4.78222551531911	-3.27953482977453	1.98967605051679	0.891063761848679	-3.933905902835	-4.92617031365604	2.66929122485816
OTU_00028	2.97494923411427	3.24875596007243	-3.01442887959468	-3.35727605165799	4.50066313048391	-3.66879995265516	-4.66106436347619	3.9772009227134
OTU_00029	1.62860210350121	-0.612425096493403	0.929085474655785	-0.021327170287627	2.55122197042701	1.62542245058383	-6.50920869021565	0.408628957828833
OTU_00030	-0.74382579059085	-1.74826053225875	4.45110613454285	-2.26972207356786	-0.705261277539724	6.07172906396807	-3.57351038538606	-1.48225513916768
OTU_00031	1.2020997747305	1.10372563236066	1.95823073115281	0.834162522491351	0.794720790440054	-0.21329460287583	-6.74903234307931	1.06938749477976
OTU_00032	2.81416953007724	-2.08298691202656	-2.26160128127235	4.69348489032962	5.47812441131423	-2.91597235433283	-3.90823676515387	-1.81698151893549
OTU_00033	-0.549262668738383	-0.000989157406894314	1.40133572144039	1.16144847038829	-0.235605109883341	-2.07663562811818	0.564583864501575	-0.264875492183454
OTU_00034	5.04366612516732	-1.8972285236062	-2.07584289285199	1.43782866375551	5.57549210069646	-2.73021396591247	-3.72247837673351	-1.63122313051513
OTU_00035	4.06739703660933	1.82007462229033	-2.7613350570906	-3.10418222915392	4.61984433506614	-3.41570613015108	-4.40797054097212	3.18187796340192
OTU_00036	-2.15309337141911	2.28084772820388	4.27810548847683	1.06540252271571	0.659937414607542	-3.99051355539328	-4.98277796621432	2.84209173902276
OTU_00037	5.70067960222714	1.90878280106394	-1.99008815305059	-2.3329353251139	4.54021232863031	-2.64445922611107	-3.6367236369321	-1.54546839071373
OTU_00038	4.78822260915103	2.46546028687104	-2.63997713355637	-2.98282430561969	4.19705946383231	-3.29434820661685	-4.28661261743789	1.75301990337641
OTU_00039	3.95654416089369	2.78205583724689	-3.36245361182826	0.729282542649216	1.92797828987431	-4.01682468488874	-5.00908909570978	2.99250656176268
OTU_00040	6.17110117988478	-1.33461673990454	-1.51323110915033	-1.85607828121364	4.92890507243983	-2.16760218221081	-3.15986659303184	-1.06861134681346
OTU_00041	2.95016957706622	4.05281412926227	-2.20204975661855	-2.54489692868187	-0.980436132653736	-2.85642082967903	-3.84868524050007	5.42950518180477
OTU_00042	1.82187030771034	-0.743079049751198	1.51942781967544	1.2329841374748	-0.519935498436988	-0.897229729578456	-5.77005410232344	3.3560161152295
OTU_00043	0.555916776129761	-0.0419202246258594	-2.47971667309537	4.45990760986064	-1.25810304913055	4.92536462859678	-4.12635215697689	-2.03509691075851
OTU_00044	4.15887445193155	1.07059062101231	-2.47427740205437	-2.81712457411769	2.29258193084092	-3.12864847511485	-4.12091288593589	5.01891633343802
OTU_00045	6.13805018630035	3.64501514951265	-1.67177672647845	-2.01462389854176	0.775052263247693	-2.32614779953893	-3.31841221035996	-1.22715696414159
OTU_00046	4.0753434122296	0.122498412281201	-2.41180655522182	2.21230274099658	5.09346844998502	-3.0661776282823	-4.05844203910334	-1.96718679288496
OTU_00047	5.06173423741715	3.80458529697853	-2.21046190726852	-2.55330907933183	4.38522396861536	-2.864832980329	-3.85709739115003	-1.76584214493166
OTU_00048	-1.17270441883049	-2.17713916049839	4.20442217797723	1.05109688040501	-1.13413990577936	5.14198720775902	-4.0023890136257	-1.91113376740732
OTU_00049	4.40773778254937	-0.0159105268153263	-2.36802335537878	1.92999962223999	5.0066533381462	-3.02239442843926	-4.01465883926029	-1.92340359304192
OTU_00050	-2.13299090535179	2.30201375286358	4.19436955532234	1.39329881479788	0.94936742586192	-3.97041108932596	-4.96267550014699	2.22702794597902
OTU_00051	-1.53973826595136	-2.54417300761926	4.34378856446692	4.16342761787235	0.155025485450974	-3.37715844992553	-4.36942286074657	3.16825091645248
